administrador,usuario,presionó botón correcto,tiempo de interacción,mini juego,número de interacción por lección,color presionado,dificultad,fecha,juego,auto push,tiempo de lección,tiempo de sesión
2,3,2,5.399169,9,1,4,1,1969-12-31 18:00:45.316,1,1,0.0,0.0
2,3,1,1.2834,9,2,1,1,1969-12-31 18:00:45.316,1,1,0.0,0.0
2,3,2,2.700226,9,3,2,1,1969-12-31 18:00:45.316,1,1,0.0,0.0
2,3,1,3.050262,9,4,2,1,1969-12-31 18:00:45.316,1,1,0.0,0.0
2,3,1,4.750256,9,5,2,1,1969-12-31 18:00:45.316,1,1,0.0,0.0
2,3,1,7.400463,9,6,2,1,1969-12-31 18:00:45.316,1,1,0.0,0.0
2,3,1,13.16735,9,7,2,1,1969-12-31 18:00:45.316,1,1,0.0,0.0
2,3,2,22.46778,9,8,3,1,1969-12-31 18:00:45.316,1,1,0.0,0.0
2,3,1,14.51718,9,9,2,1,1969-12-31 18:00:45.316,1,1,0.0,0.0
2,3,1,15.61735,9,10,4,1,1969-12-31 18:00:45.316,1,1,0.0,0.0
2,3,1,16.80135,9,11,2,1,1969-12-31 18:00:45.316,1,1,0.0,0.0
2,3,2,18.16748,9,12,1,1,1969-12-31 18:00:45.316,1,1,0.0,0.0
2,3,3,999.0,9,0,5,1,1969-12-31 18:00:45.316,1,2,63.80254,9999.0
2,3,1,9.223312,1,1,4,1,1969-12-31 18:00:45.316,1,1,0.0,0.0
2,3,2,10.40688,1,2,4,1,1969-12-31 18:00:45.316,1,1,0.0,0.0
2,3,1,1.184384,1,3,1,1,1969-12-31 18:00:45.316,1,1,0.0,0.0
2,3,2,4.400641,1,4,1,1,1969-12-31 18:00:45.316,1,1,0.0,0.0
2,3,1,2.050367,1,5,4,1,1969-12-31 18:00:45.316,1,1,0.0,0.0
2,3,2,2.534215,1,6,4,1,1969-12-31 18:00:45.316,1,1,0.0,0.0
2,3,2,2.033403,1,7,3,1,1969-12-31 18:00:45.316,1,1,0.0,0.0
2,3,3,999.0,1,0,5,1,1969-12-31 18:00:45.316,1,2,21.64027,9999.0
2,3,1,21.19685,3,1,1,1,1969-12-31 18:00:45.316,1,1,0.0,0.0
2,3,2,27.01376,3,2,1,1,1969-12-31 18:00:45.316,1,1,0.0,0.0
2,3,2,2.066363,3,3,3,1,1969-12-31 18:00:45.316,1,1,0.0,0.0
2,3,1,0.1333601,3,4,1,1,1969-12-31 18:00:45.316,1,1,0.0,0.0
2,3,2,1.750274,3,5,1,1,1969-12-31 18:00:45.316,1,1,0.0,0.0
2,3,2,0.6000757,3,6,3,1,1969-12-31 18:00:45.316,1,1,0.0,0.0
2,3,3,999.0,3,0,5,1,1969-12-31 18:00:45.316,1,2,40.84766,9999.0
2,3,2,5.166974,4,1,1,1,1969-12-31 18:00:45.316,1,1,0.0,0.0
2,3,1,5.750237,4,2,1,1,1969-12-31 18:00:45.316,1,1,0.0,0.0
2,3,2,13.03398,4,3,4,1,1969-12-31 18:00:45.316,1,1,0.0,0.0
2,3,2,2.067,4,4,2,1,1969-12-31 18:00:45.316,1,1,0.0,0.0
2,3,1,0.9999382,4,5,3,1,1969-12-31 18:00:45.316,1,1,0.0,0.0
2,3,1,7.867492,4,6,3,1,1969-12-31 18:00:45.316,1,1,0.0,0.0
2,3,1,17.91809,4,7,2,1,1969-12-31 18:00:45.316,1,1,0.0,0.0
2,3,1,31.38541,4,8,3,1,1969-12-31 18:00:45.316,1,1,0.0,0.0
2,3,1,31.60169,4,9,2,1,1969-12-31 18:00:45.316,1,1,0.0,0.0
2,3,1,32.50167,4,10,2,1,1969-12-31 18:00:45.316,1,1,0.0,0.0
2,3,1,44.21878,4,11,2,1,1969-12-31 18:00:45.316,1,1,0.0,0.0
2,3,2,45.069,4,12,4,1,1969-12-31 18:00:45.316,1,1,0.0,0.0
2,3,3,999.0,4,0,5,1,1969-12-31 18:00:45.316,1,2,89.45854,9999.0
2,3,1,28.46784,2,1,3,1,1969-12-31 18:00:45.316,1,1,0.0,0.0
2,3,1,44.03531,2,2,3,1,1969-12-31 18:00:45.316,1,1,0.0,0.0
2,3,1,44.68526,2,3,3,1,1969-12-31 18:00:45.316,1,1,0.0,0.0
2,3,1,50.48578,2,4,3,1,1969-12-31 18:00:45.316,1,1,0.0,0.0
2,3,2,54.7361,2,5,3,1,1969-12-31 18:00:45.316,1,1,0.0,0.0
2,3,2,40.86897,2,6,4,1,1969-12-31 18:00:45.316,1,1,0.0,0.0
2,3,1,44.31938,2,7,1,1,1969-12-31 18:00:45.316,1,1,0.0,0.0
2,3,2,69.77039,2,8,1,1,1969-12-31 18:00:45.316,1,1,0.0,0.0
2,3,2,10.95004,2,9,1,1,1969-12-31 18:00:45.316,1,1,0.0,0.0
2,3,3,999.0,2,0,5,1,1969-12-31 18:00:45.316,1,2,223.8063,9999.0
2,3,1,3.221607,1,1,2,2,1969-12-31 18:00:45.316,1,1,0.0,0.0
2,3,2,4.150063,1,2,3,2,1969-12-31 18:00:45.316,1,1,0.0,0.0
2,3,1,6.617437,1,3,1,2,1969-12-31 18:00:45.316,1,1,0.0,0.0
2,3,1,7.45023,1,4,1,2,1969-12-31 18:00:45.316,1,1,0.0,0.0
2,3,1,0.6334368,1,5,1,2,1969-12-31 18:00:45.316,1,1,0.0,0.0
2,3,1,8.800414,1,6,3,2,1969-12-31 18:00:45.316,1,1,0.0,0.0
2,3,1,7.633595,1,7,3,2,1969-12-31 18:00:45.316,1,1,0.0,0.0
2,3,2,7.883645,1,8,3,2,1969-12-31 18:00:45.316,1,1,0.0,0.0
2,3,1,3.250587,1,9,2,2,1969-12-31 18:00:45.316,1,1,0.0,0.0
2,3,2,5.116871,1,10,2,2,1969-12-31 18:00:45.316,1,1,0.0,0.0
2,3,2,1.050508,1,11,4,2,1969-12-31 18:00:45.316,1,1,0.0,0.0
2,3,2,1.433431,1,12,2,2,1969-12-31 18:00:45.316,1,1,0.0,0.0
