administrador,usuario,presionó botón correcto,tiempo de interacción,mini juego,número de interacción por lección,color presionado,dificultad,fecha,juego,auto push,tiempo de lección,tiempo de sesión
1,17,1,0.0,5,1,4,1,1969-12-31 18:00:45.475,2,1,0.0,0.0
1,17,1,6.366849,5,2,4,1,1969-12-31 18:00:45.475,2,1,0.0,0.0
1,17,1,12.05106,5,3,4,1,1969-12-31 18:00:45.475,2,1,0.0,0.0
1,17,1,17.20132,5,4,4,1,1969-12-31 18:00:45.475,2,1,0.0,0.0
1,17,1,19.86756,5,5,4,1,1969-12-31 18:00:45.475,2,1,0.0,0.0
1,17,2,36.19181,5,6,4,1,1969-12-31 18:00:45.475,2,1,0.0,0.0
1,17,1,16.76809,5,7,2,1,1969-12-31 18:00:45.475,2,1,0.0,0.0
1,17,1,30.68556,5,8,2,1,1969-12-31 18:00:45.475,2,1,0.0,0.0
1,17,1,43.10327,5,9,2,1,1969-12-31 18:00:45.475,2,1,0.0,0.0
1,17,1,43.56908,5,10,2,1,1969-12-31 18:00:45.475,2,1,0.0,0.0
1,17,2,39.40237,5,11,2,1,1969-12-31 18:00:45.475,2,3,0.0,0.0
1,17,1,16.46755,5,12,3,1,1969-12-31 18:00:45.475,2,1,0.0,0.0
1,17,2,29.60142,5,13,3,1,1969-12-31 18:00:45.475,2,1,0.0,0.0
1,17,2,4.233126,5,14,1,1,1969-12-31 18:00:45.475,2,1,0.0,0.0
1,17,3,999.0,5,0,5,1,1969-12-31 18:00:45.475,2,2,145.6149,9999.0
1,17,2,6.763092,6,1,4,1,1969-12-31 18:00:45.475,2,1,0.0,0.0
1,17,2,4.829886,6,2,2,1,1969-12-31 18:00:45.475,2,1,0.0,0.0
1,17,1,8.817373,6,3,4,1,1969-12-31 18:00:45.475,2,1,0.0,0.0
1,17,1,10.31777,6,4,2,1,1969-12-31 18:00:45.475,2,1,0.0,0.0
1,17,1,14.6508,6,5,2,1,1969-12-31 18:00:45.475,2,1,0.0,0.0
1,17,1,19.15122,6,6,2,1,1969-12-31 18:00:45.475,2,1,0.0,0.0
1,17,2,13.64657,6,7,3,1,1969-12-31 18:00:45.475,2,1,0.0,0.0
1,17,1,11.21733,6,8,2,1,1969-12-31 18:00:45.475,2,1,0.0,0.0
1,17,1,17.8175,6,9,2,1,1969-12-31 18:00:45.475,2,1,0.0,0.0
1,17,1,18.28424,6,10,2,1,1969-12-31 18:00:45.475,2,1,0.0,0.0
1,17,1,19.08431,6,11,4,1,1969-12-31 18:00:45.475,2,1,0.0,0.0
1,17,2,13.25999,6,12,1,1,1969-12-31 18:00:45.475,2,1,0.0,0.0
1,17,3,999.0,6,0,5,1,1969-12-31 18:00:45.475,2,2,66.13285,9999.0
1,17,1,0.0,7,1,3,1,1969-12-31 18:00:45.475,2,1,0.0,0.0
1,17,2,7.218652,7,2,4,1,1969-12-31 18:00:45.475,2,1,0.0,0.0
1,17,1,0.0,7,3,4,1,1969-12-31 18:00:45.475,2,1,0.0,0.0
1,17,1,0.0,7,4,4,1,1969-12-31 18:00:45.475,2,1,0.0,0.0
1,17,1,0.0,7,5,4,1,1969-12-31 18:00:45.475,2,1,0.0,0.0
1,17,1,0.0,7,6,4,1,1969-12-31 18:00:45.475,2,1,0.0,0.0
1,17,1,0.0,7,7,4,1,1969-12-31 18:00:45.475,2,1,0.0,0.0
1,17,2,6.383657,7,8,2,1,1969-12-31 18:00:45.475,2,1,0.0,0.0
1,17,2,3.300382,7,9,3,1,1969-12-31 18:00:45.475,2,1,0.0,0.0
1,17,1,0.0,7,10,3,1,1969-12-31 18:00:45.475,2,1,0.0,0.0
1,17,1,0.0,7,11,2,1,1969-12-31 18:00:45.475,2,1,0.0,0.0
1,17,2,4.317314,7,12,1,1,1969-12-31 18:00:45.475,2,1,0.0,0.0
1,17,3,999.0,7,0,5,1,1969-12-31 18:00:45.475,2,2,41.47118,9999.0
1,17,1,1.938949,8,1,3,1,1969-12-31 18:00:45.475,2,1,0.0,0.0
1,17,1,4.538961,8,2,2,1,1969-12-31 18:00:45.475,2,1,0.0,0.0
1,17,1,4.922328,8,3,3,1,1969-12-31 18:00:45.475,2,1,0.0,0.0
1,17,1,7.005847,8,4,1,1,1969-12-31 18:00:45.475,2,1,0.0,0.0
1,17,2,9.206104,8,5,4,1,1969-12-31 18:00:45.475,2,1,0.0,0.0
1,17,1,1.933548,8,6,3,1,1969-12-31 18:00:45.475,2,1,0.0,0.0
1,17,1,1.950315,8,7,1,1,1969-12-31 18:00:45.475,2,1,0.0,0.0
1,17,1,5.050437,8,8,3,1,1969-12-31 18:00:45.475,2,1,0.0,0.0
