,usuario,presionó botón correcto,tiempo de interacción,mini juego,número de interacción por lección,color presionado,dificultad,juego,auto push,tiempo de lección,tiempo de sesión
5837,32,2,4.604386,9,1,4,1,1,1,0.0,0.0
5838,32,2,3.917116,9,2,2,1,1,1,0.0,0.0
5839,32,2,2.199356,9,3,3,1,1,1,0.0,0.0
5840,32,2,2.982496,9,4,1,1,1,1,0.0,0.0
5841,32,3,999.0,9,0,5,1,1,2,28.79073,9999.0
5842,32,2,7.897322,1,1,1,1,1,1,0.0,0.0
5843,32,2,3.467021,1,2,3,1,1,1,0.0,0.0
5844,32,2,3.950273,1,3,2,1,1,1,0.0,0.0
5845,32,2,4.183996,1,4,2,1,1,1,0.0,0.0
5846,32,3,999.0,1,0,5,1,1,2,21.59395,9999.0
5847,32,2,7.154699,3,1,4,1,1,1,0.0,0.0
5848,32,2,4.933453,3,2,4,1,1,1,0.0,0.0
5849,32,1,11.60227,3,3,1,1,1,1,0.0,0.0
5850,32,1,19.93061,3,4,1,1,1,1,0.0,0.0
5851,32,2,23.64087,3,5,1,1,1,1,0.0,0.0
5852,32,2,7.102221,3,6,1,1,1,1,0.0,0.0
5853,32,3,999.0,3,0,5,1,1,2,52.23205,9999.0
5854,32,2,9.534184,4,1,1,1,1,1,0.0,0.0
5855,32,2,6.316568,4,2,1,1,1,1,0.0,0.0
5856,32,2,7.018308,4,3,2,1,1,1,0.0,0.0
5857,32,2,7.099429,4,4,2,1,1,1,0.0,0.0
5858,32,3,999.0,4,0,5,1,1,2,54.07877,9999.0
5859,32,3,999.0,2,0,5,1,1,2,7.461668,9999.0
5860,32,3,999.0,10,0,5,1,1,2,999.0,332.24
