presionó botón correcto,tiempo de interacción,mini juego,número de interacción por lección,color presionado,auto push,tiempo de lección,tiempo de sesión,administrador,usuario,dificultad,juego
1,7.224277,8,1,3,1,0.0,0.0,1,1,1,2
2,1.549632,8,2,3,1,0.0,0.0,1,1,1,2
1,3.999977,8,3,1,1,0.0,0.0,1,1,1,2
1,4.584376,8,4,2,1,0.0,0.0,1,1,1,2
1,9.249636,8,5,5,1,0.0,0.0,1,1,1,2
3,999.0,8,0,4,2,40.14241,9999.0,1,1,1,2
1,9.05202,7,1,3,1,0.0,0.0,1,1,1,2
2,2.583539,7,2,1,1,0.0,0.0,1,1,1,2
1,3.633621,7,3,1,1,0.0,0.0,1,1,1,2
1,2.133594,7,4,2,1,0.0,0.0,1,1,1,2
2,2.350333,7,5,3,1,0.0,0.0,1,1,1,2
1,10.41724,7,6,3,1,0.0,0.0,1,1,1,2
3,999.0,7,0,4,2,26.9698,9999.0,1,1,1,2
2,8.336003,5,1,2,1,0.0,0.0,1,1,1,2
2,23.03713,5,2,2,1,0.0,0.0,1,1,1,2
2,31.22051,5,3,2,1,0.0,0.0,1,1,1,2
1,34.93739,5,4,2,1,0.0,0.0,1,1,1,2
1,8.300622,5,5,1,1,0.0,0.0,1,1,1,2
2,3.76694,5,6,1,1,0.0,0.0,1,1,1,2
2,8.300881,5,7,1,1,0.0,0.0,1,1,1,2
1,25.65174,5,8,1,1,0.0,0.0,1,1,1,2
2,14.96753,5,9,2,1,0.0,0.0,1,1,1,2
1,17.01808,5,10,2,1,0.0,0.0,1,1,1,2
3,999.0,5,0,4,2,95.30732,9999.0,1,1,1,2
1,7.667146,9,1,3,1,0.0,0.0,1,1,1,2
1,2.900429,9,2,2,1,0.0,0.0,1,1,1,2
1,0.3835117,9,3,1,1,0.0,0.0,1,1,1,2
1,6.334465,9,4,2,1,0.0,0.0,1,1,1,2
3,999.0,9,0,4,2,41.40306,9999.0,1,1,1,2
2,16.41761,6,1,1,1,0.0,0.0,1,1,1,2
2,16.45275,6,2,1,1,0.0,0.0,1,1,1,2
1,21.66895,6,3,1,1,0.0,0.0,1,1,1,2
2,1.066227,6,4,3,1,0.0,0.0,1,1,1,2
1,7.550242,6,5,3,1,0.0,0.0,1,1,1,2
2,21.93436,6,6,2,1,0.0,0.0,1,1,1,2
1,22.00056,6,7,2,1,0.0,0.0,1,1,1,2
3,999.0,6,0,4,2,83.93386,9999.0,1,1,1,2
3,999.0,10,0,4,2,999.0,544.1464,1,1,1,2
3,999.0,11,0,4,2,999.0,9999.0,1,1,1,2
1,42.65738,1,1,3,3,0.0,0.0,1,1,1,1
1,6.400866,1,2,1,1,0.0,0.0,1,1,1,1
2,8.349962,1,3,2,1,0.0,0.0,1,1,1,1
1,4.366689,1,4,2,1,0.0,0.0,1,1,1,1
2,12.48395,1,5,5,1,0.0,0.0,1,1,1,1
1,5.900505,1,6,5,1,0.0,0.0,1,1,1,1
3,999.0,1,0,4,2,92.74403,9999.0,1,1,1,1
2,0.0,1,1,3,1,0.0,0.0,1,1,2,1
2,0.6171625,1,2,3,1,0.0,0.0,1,1,2,1
2,15.16795,1,3,3,1,0.0,0.0,1,1,2,1
2,16.73412,1,4,3,1,0.0,0.0,1,1,2,1
1,21.14432,1,5,3,1,0.0,0.0,1,1,2,1
2,19.46717,1,6,1,1,0.0,0.0,1,1,2,1
1,11.01722,1,7,1,1,0.0,0.0,1,1,2,1
2,14.11757,1,8,2,1,0.0,0.0,1,1,2,1
2,16.51753,1,9,2,1,0.0,0.0,1,1,2,1
2,20.45166,1,10,2,1,0.0,0.0,1,1,2,1
2,25.00145,1,11,2,1,0.0,0.0,1,1,2,1
1,40.18615,1,12,2,3,0.0,0.0,1,1,2,1
1,39.95218,1,13,5,3,0.0,0.0,1,1,2,1
3,999.0,1,0,4,2,152.9178,9999.0,1,1,2,1
3,999.0,1,0,4,2,3.420547,9999.0,1,1,3,1
3,999.0,10,0,4,2,999.0,350.8079,1,1,3,1
1,14.82223,1,1,3,1,0.0,0.0,1,1,1,1
1,6.700187,1,2,1,1,0.0,0.0,1,1,1,1
1,9.86719,1,3,2,1,0.0,0.0,1,1,1,1
1,4.434191,1,4,5,1,0.0,0.0,1,1,1,1
3,999.0,1,0,4,2,70.03956,9999.0,1,1,1,1
1,9.728914,3,1,3,1,0.0,0.0,1,1,1,1
2,16.45128,3,2,3,1,0.0,0.0,1,1,1,1
1,9.712988,3,3,1,1,0.0,0.0,1,1,1,1
2,0.0548976,3,4,5,1,0.0,0.0,1,1,1,1
2,17.53403,3,5,1,1,0.0,0.0,1,1,1,1
1,12.08008,3,6,2,1,0.0,0.0,1,1,1,1
1,15.49349,3,7,5,1,0.0,0.0,1,1,1,1
3,999.0,3,0,4,2,74.24882,9999.0,1,1,1,1
2,0.0,4,1,1,1,0.0,0.0,1,1,1,1
1,10.66782,4,2,3,1,0.0,0.0,1,1,1,1
1,2.716823,4,3,1,1,0.0,0.0,1,1,1,1
1,0.1172058,4,4,2,1,0.0,0.0,1,1,1,1
2,0.0,4,5,3,1,0.0,0.0,1,1,1,1
1,18.51723,4,6,5,1,0.0,0.0,1,1,1,1
3,999.0,4,0,4,2,52.8701,9999.0,1,1,1,1
2,12.3719,2,1,2,1,0.0,0.0,1,1,1,1
2,12.38862,2,2,1,1,0.0,0.0,1,1,1,1
2,18.13815,2,3,1,1,0.0,0.0,1,1,1,1
1,29.90598,2,4,3,1,0.0,0.0,1,1,1,1
2,16.10076,2,5,5,1,0.0,0.0,1,1,1,1
1,17.31779,2,6,1,1,0.0,0.0,1,1,1,1
1,5.000129,2,7,2,1,0.0,0.0,1,1,1,1
1,18.61714,2,8,5,1,0.0,0.0,1,1,1,1
3,999.0,2,0,4,2,94.17564,9999.0,1,1,1,1
1,11.39668,1,1,3,1,0.0,0.0,1,1,2,1
1,14.65079,1,2,2,1,0.0,0.0,1,1,2,1
1,9.733884,1,3,5,1,0.0,0.0,1,1,2,1
1,18.00138,1,4,1,1,0.0,0.0,1,1,2,1
3,999.0,1,0,4,2,91.06838,9999.0,1,1,2,1
1,15.21403,3,1,2,1,0.0,0.0,1,1,2,1
1,2.198471,3,2,5,1,0.0,0.0,1,1,2,1
1,18.91613,3,3,1,1,0.0,0.0,1,1,2,1
1,6.045187,3,4,3,1,0.0,0.0,1,1,2,1
3,999.0,3,0,4,2,74.05103,9999.0,1,1,2,1
2,0.0,4,1,2,1,0.0,0.0,1,1,2,1
1,20.2875,4,2,1,1,0.0,0.0,1,1,2,1
1,4.350249,4,3,2,1,0.0,0.0,1,1,2,1
1,14.76754,4,4,5,1,0.0,0.0,1,1,2,1
1,20.23485,4,5,3,1,0.0,0.0,1,1,2,1
3,999.0,4,0,4,2,81.95776,9999.0,1,1,2,1
1,4.435594,2,1,5,1,0.0,0.0,1,1,2,1
2,2.26677,2,2,2,1,0.0,0.0,1,1,2,1
2,3.316815,2,3,5,1,0.0,0.0,1,1,2,1
1,6.000438,2,4,1,1,0.0,0.0,1,1,2,1
1,1.950217,2,5,3,1,0.0,0.0,1,1,2,1
2,2.133655,2,6,1,1,0.0,0.0,1,1,2,1
1,4.983805,2,7,2,1,0.0,0.0,1,1,2,1
3,999.0,2,0,4,2,40.73757,9999.0,1,1,2,1
1,15.51223,1,1,2,1,0.0,0.0,1,1,3,1
2,13.16824,1,2,1,1,0.0,0.0,1,1,3,1
2,13.98464,1,3,1,1,0.0,0.0,1,1,3,1
2,15.51768,1,4,1,1,0.0,0.0,1,1,3,1
2,16.88507,1,5,1,1,0.0,0.0,1,1,3,1
1,10.21633,1,6,1,1,0.0,0.0,1,1,3,1
1,5.933442,1,7,3,1,0.0,0.0,1,1,3,1
1,13.85082,1,8,5,1,0.0,0.0,1,1,3,1
1,6.883794,1,9,2,1,0.0,0.0,1,1,3,1
3,999.0,1,0,4,2,97.9836,9999.0,1,1,3,1
1,8.039805,3,1,2,1,0.0,0.0,1,1,3,1
3,999.0,3,0,4,2,11.65747,9999.0,1,1,3,1
3,999.0,10,0,4,2,999.0,1097.361,1,1,3,1
2,0.0,1,1,3,1,0.0,0.0,2,1,1,1
2,0.6317557,1,2,3,1,0.0,0.0,2,1,1,1
2,1.555314,1,3,3,1,0.0,0.0,2,1,1,1
2,5.355965,1,4,3,1,0.0,0.0,2,1,1,1
1,10.25175,1,5,3,1,0.0,0.0,2,1,1,1
2,11.53178,1,6,1,1,0.0,0.0,2,1,1,1
2,15.19826,1,7,1,1,0.0,0.0,2,1,1,1
1,15.70106,1,8,1,1,0.0,0.0,2,1,1,1
1,2.233343,1,9,2,1,0.0,0.0,2,1,1,1
2,21.6347,1,10,5,1,0.0,0.0,2,1,1,1
2,22.08506,1,11,5,1,0.0,0.0,2,1,1,1
